"reporting_year","station_eu_code","date","CO"
2020,"IT1800A",2020-01-01,0.5287
2020,"IT1800A",2020-01-02,0.5537
2020,"IT1800A",2020-01-03,0.6559
2020,"IT1800A",2020-01-04,0.5875
2020,"IT1800A",2020-01-05,0.5391
2020,"IT1800A",2020-01-06,0.5524
2020,"IT1800A",2020-01-07,0.6074
2020,"IT1800A",2020-01-08,0.6666
2020,"IT1800A",2020-01-09,0.7334
2020,"IT1800A",2020-01-10,0.8355
2020,"IT1800A",2020-01-11,0.7336
2020,"IT1800A",2020-01-12,0.6337
2020,"IT1800A",2020-01-13,0.7954
2020,"IT1800A",2020-01-14,0.7679
2020,"IT1800A",2020-01-15,0.8507
2020,"IT1800A",2020-01-16,0.7423
2020,"IT1800A",2020-01-17,0.7766
2020,"IT1800A",2020-01-18,0.7727
2020,"IT1800A",2020-01-19,0.6944
2020,"IT1800A",2020-01-20,0.6711
2020,"IT1800A",2020-01-21,0.6792
2020,"IT1800A",2020-01-22,0.7944
2020,"IT1800A",2020-01-23,0.8011
2020,"IT1800A",2020-01-24,0.8239
2020,"IT1800A",2020-01-25,0.8101
2020,"IT1800A",2020-01-26,0.8462
2020,"IT1800A",2020-01-27,0.8216
2020,"IT1800A",2020-01-28,0.6397
2020,"IT1800A",2020-01-29,0.6991
2020,"IT1800A",2020-01-30,0.7067
2020,"IT1800A",2020-01-31,0.8127
2020,"IT1800A",2020-02-01,0.7537
2020,"IT1800A",2020-02-02,0.6824
2020,"IT1800A",2020-02-03,0.757
2020,"IT1800A",2020-02-04,0.6761
2020,"IT1800A",2020-02-05,0.6646
2020,"IT1800A",2020-02-06,0.6836
2020,"IT1800A",2020-02-07,0.8054
2020,"IT1800A",2020-02-08,0.8141
2020,"IT1800A",2020-02-09,0.8293
2020,"IT1800A",2020-02-10,0.7178
2020,"IT1800A",2020-02-11,0.7279
2020,"IT1800A",2020-02-12,0.7628
2020,"IT1800A",2020-02-13,0.7563
2020,"IT1800A",2020-03-31,0.5476
2020,"IT1800A",2020-04-01,0.5475
2020,"IT1800A",2020-04-02,0.5574
2020,"IT1800A",2020-04-03,0.5846
2020,"IT1800A",2020-04-04,0.5608
2020,"IT1800A",2020-04-05,0.5437
2020,"IT1800A",2020-04-06,0.5792
2020,"IT1800A",2020-04-07,0.566
2020,"IT1800A",2020-04-08,0.5677
2020,"IT1800A",2020-04-09,0.5999
2020,"IT1800A",2020-04-10,0.585
2020,"IT1800A",2020-04-11,0.5902
2020,"IT1800A",2020-04-12,0.5659
2020,"IT1800A",2020-04-13,0.5761
2020,"IT1800A",2020-04-14,0.5667
2020,"IT1800A",2020-04-15,0.5281
2020,"IT1800A",2020-04-16,0.5369
2020,"IT1800A",2020-04-17,0.5488
2020,"IT1800A",2020-04-18,0.5692
2020,"IT1800A",2020-04-19,0.5642
2020,"IT1800A",2020-04-20,0.5508
2020,"IT1800A",2020-04-21,0.5586
2020,"IT1800A",2020-04-22,0.5548
2020,"IT1800A",2020-04-23,0.5675
2020,"IT1800A",2020-04-24,0.542
2020,"IT1800A",2020-04-26,0.5257
2020,"IT1800A",2020-04-27,0.5051
2020,"IT1800A",2020-05-02,0.5176
2020,"IT1800A",2020-05-05,0.5237
2020,"IT1800A",2020-05-07,0.5098
2020,"IT1800A",2020-05-09,0.5103
2020,"IT1800A",2020-05-10,0.5106
2020,"IT1800A",2020-05-11,0.5354
2020,"IT1800A",2020-05-13,0.5246
2020,"IT1800A",2020-05-16,0.5304
2020,"IT1800A",2020-05-17,0.5238
2020,"IT1800A",2020-05-18,0.5593
2020,"IT1800A",2020-05-19,0.5603
2020,"IT1800A",2020-05-22,0.603
2020,"IT1800A",2020-05-23,0.569
2020,"IT1800A",2020-05-24,0.5688
2020,"IT1800A",2020-05-26,0.5454
2020,"IT1800A",2020-05-30,0.5208
2020,"IT1800A",2020-05-31,0.519
2020,"IT1800A",2020-06-02,0.5095
2020,"IT1800A",2020-06-03,0.5084
2020,"IT1800A",2020-06-04,0.5273
2020,"IT1800A",2020-06-05,0.5346
2020,"IT1800A",2020-06-06,0.5628
2020,"IT1800A",2020-06-08,0.5253
2020,"IT1800A",2020-06-09,0.5157
2020,"IT1800A",2020-06-10,0.5531
2020,"IT1800A",2020-06-11,0.5077
2020,"IT1800A",2020-06-12,0.551
2020,"IT1800A",2020-06-13,0.5226
2020,"IT1800A",2020-06-15,0.5153
2020,"IT1800A",2020-06-16,0.525
2020,"IT1800A",2020-06-17,0.5219
2020,"IT1800A",2020-06-18,0.5032
2020,"IT1800A",2020-06-19,0.5374
2020,"IT1800A",2020-06-20,0.5028
2020,"IT1800A",2020-06-22,0.522
2020,"IT1800A",2020-06-23,0.5149
2020,"IT1800A",2020-06-24,0.5779
2020,"IT1800A",2020-06-25,0.5526
2020,"IT1800A",2020-06-26,0.5604
2020,"IT1800A",2020-06-27,0.5361
2020,"IT1800A",2020-06-28,0.5873
2020,"IT1800A",2020-06-29,0.5657
2020,"IT1800A",2020-06-30,0.5487
2020,"IT1804A",2020-01-01,1.1424
2020,"IT1804A",2020-01-02,1.3971
2020,"IT1804A",2020-01-03,1.6375
2020,"IT1804A",2020-01-04,1.9455
2020,"IT1804A",2020-01-05,1.1106
2020,"IT1804A",2020-01-06,0.7056
2020,"IT1804A",2020-01-07,1.3659
2020,"IT1804A",2020-01-08,0.9359
2020,"IT1804A",2020-01-09,1.0148
2020,"IT1804A",2020-01-13,1.9576
2020,"IT1804A",2020-01-14,1.4826
2020,"IT1804A",2020-01-15,1.8696
2020,"IT1804A",2020-01-16,1.8657
2020,"IT1804A",2020-01-17,1.8751
2020,"IT1804A",2020-01-18,1.7895
2020,"IT1804A",2020-01-19,1.1452
2020,"IT1804A",2020-01-20,0.7492
2020,"IT1804A",2020-01-21,0.8572
2020,"IT1804A",2020-01-22,1.6012
2020,"IT1804A",2020-01-23,1.8383
2020,"IT1804A",2020-01-24,1.7934
2020,"IT1804A",2020-01-25,2.4574
2020,"IT1804A",2020-01-26,1.5252
2020,"IT1804A",2020-01-27,1.0485
2020,"IT1804A",2020-01-28,0.6698
2020,"IT1804A",2020-01-29,1.1172
2020,"IT1804A",2020-01-30,1.4822
2020,"IT1804A",2020-01-31,1.2917
2020,"IT1804A",2020-02-01,1.1929
2020,"IT1804A",2020-02-02,0.7607
2020,"IT1804A",2020-02-03,0.9399
2020,"IT1804A",2020-02-04,0.8171
2020,"IT1804A",2020-02-05,0.5835
2020,"IT1804A",2020-02-06,0.6715
2020,"IT1804A",2020-02-07,1.2299
2020,"IT1804A",2020-02-08,1.2608
2020,"IT1804A",2020-02-09,0.9819
2020,"IT1804A",2020-02-10,0.631
2020,"IT1804A",2020-02-11,0.7468
2020,"IT1804A",2020-02-12,0.9571
2020,"IT1804A",2020-02-13,0.8497
2020,"IT1804A",2020-02-14,0.7855
2020,"IT1804A",2020-02-15,0.7843
2020,"IT1804A",2020-02-16,0.9234
2020,"IT1804A",2020-02-17,0.998
2020,"IT1804A",2020-02-18,1.042
2020,"IT1804A",2020-02-19,0.8352
2020,"IT1804A",2020-02-20,0.7299
2020,"IT1804A",2020-02-21,0.7932
2020,"IT1804A",2020-02-22,0.9788
2020,"IT1804A",2020-02-23,0.7965
2020,"IT1804A",2020-02-24,0.7407
2020,"IT1804A",2020-02-25,0.7166
2020,"IT1804A",2020-02-26,0.5913
2020,"IT1804A",2020-02-27,0.6488
2020,"IT1804A",2020-02-28,0.6913
2020,"IT1804A",2020-02-29,0.8618
2020,"IT1804A",2020-03-01,0.7413
2020,"IT1804A",2020-03-02,0.6463
2020,"IT1804A",2020-03-03,0.829
2020,"IT1804A",2020-03-04,0.8147
2020,"IT1804A",2020-03-05,0.7716
2020,"IT1804A",2020-03-06,0.6503
2020,"IT1804A",2020-03-07,0.7857
2020,"IT1804A",2020-03-08,0.7097
2020,"IT1804A",2020-03-09,0.8149
2020,"IT1804A",2020-03-10,0.9431
2020,"IT1804A",2020-03-11,0.9949
2020,"IT1804A",2020-03-12,0.9023
2020,"IT1804A",2020-03-13,0.8094
2020,"IT1804A",2020-03-14,0.8081
2020,"IT1804A",2020-03-15,0.6461
2020,"IT1804A",2020-03-16,0.7227
2020,"IT1804A",2020-03-17,0.9158
2020,"IT1804A",2020-03-18,0.775
2020,"IT1804A",2020-03-19,0.9282
2020,"IT1804A",2020-03-20,0.9004
2020,"IT1804A",2020-03-21,0.9493
2020,"IT1804A",2020-03-22,0.7909
2020,"IT1804A",2020-03-23,0.6607
2020,"IT1804A",2020-03-24,0.7001
2020,"IT1804A",2020-03-25,0.6794
2020,"IT1804A",2020-03-26,0.6419
2020,"IT1804A",2020-03-27,0.7407
2020,"IT1804A",2020-03-28,0.9568
2020,"IT1804A",2020-03-29,0.8387
2020,"IT1804A",2020-03-30,0.8208
2020,"IT1804A",2020-03-31,0.7647
2020,"IT1804A",2020-04-01,0.7205
2020,"IT1804A",2020-04-02,0.8655
2020,"IT1804A",2020-04-03,0.8139
2020,"IT1804A",2020-04-04,0.7453
2020,"IT1804A",2020-04-05,0.7666
2020,"IT1804A",2020-04-06,0.8057
2020,"IT1804A",2020-04-07,0.8445
2020,"IT1804A",2020-04-08,0.8396
2020,"IT1804A",2020-04-09,0.902
2020,"IT1804A",2020-04-10,0.9215
2020,"IT1804A",2020-04-11,0.8786
2020,"IT1804A",2020-04-12,0.7873
2020,"IT1804A",2020-04-13,0.8319
2020,"IT1804A",2020-04-14,0.8353
2020,"IT1804A",2020-04-15,0.7555
2020,"IT1804A",2020-04-16,0.7784
2020,"IT1804A",2020-04-17,0.8022
2020,"IT1804A",2020-04-18,0.811
2020,"IT1804A",2020-04-19,0.804
2020,"IT1804A",2020-04-20,0.8097
2020,"IT1804A",2020-04-21,0.7926
2020,"IT1804A",2020-04-22,0.8269
2020,"IT1804A",2020-04-23,0.7857
2020,"IT1804A",2020-04-24,0.7955
2020,"IT1804A",2020-04-25,0.7803
2020,"IT1804A",2020-04-26,0.7824
2020,"IT1804A",2020-04-27,0.784
2020,"IT1804A",2020-04-28,0.7934
2020,"IT1804A",2020-04-29,0.7689
2020,"IT1804A",2020-04-30,0.7577
2020,"IT1804A",2020-05-01,0.7365
2020,"IT1804A",2020-05-02,0.7445
2020,"IT1804A",2020-05-03,0.7681
2020,"IT1804A",2020-05-04,0.8171
2020,"IT1804A",2020-05-05,0.7986
2020,"IT1804A",2020-05-06,0.8287
2020,"IT1804A",2020-05-07,0.8212
2020,"IT1804A",2020-05-08,0.8426
2020,"IT1804A",2020-05-11,0.5711
2020,"IT1804A",2020-05-15,0.5927
2020,"IT1804A",2020-05-16,0.584
2020,"IT1804A",2020-05-17,0.5621
2020,"IT1804A",2020-05-18,0.5576
2020,"IT1804A",2020-05-19,0.5597
2020,"IT1804A",2020-05-20,0.5949
2020,"IT1804A",2020-05-21,0.6116
2020,"IT1804A",2020-05-22,0.5745
2020,"IT1804A",2020-05-23,0.5007
2020,"IT1804A",2020-05-25,0.5811
2020,"IT1804A",2020-05-26,0.5217
2020,"IT1804A",2020-05-27,0.5388
2020,"IT1804A",2020-05-28,0.6032
2020,"IT1804A",2020-05-29,0.531
2020,"IT1804A",2020-05-30,0.5882
2020,"IT1804A",2020-05-31,0.5497
2020,"IT1804A",2020-06-01,0.6377
2020,"IT1804A",2020-06-02,0.5596
2020,"IT1804A",2020-06-03,0.576
2020,"IT1804A",2020-06-04,0.5639
2020,"IT1804A",2020-06-05,0.5566
2020,"IT1804A",2020-06-06,0.57
2020,"IT1804A",2020-06-07,0.5491
2020,"IT1804A",2020-06-08,0.5797
2020,"IT1804A",2020-06-09,0.5318
2020,"IT1804A",2020-06-10,0.563
2020,"IT1804A",2020-06-11,0.6064
2020,"IT1804A",2020-06-12,0.6801
2020,"IT1804A",2020-06-13,0.6659
2020,"IT1804A",2020-06-14,0.6347
2020,"IT1804A",2020-06-15,0.6595
2020,"IT1804A",2020-06-16,0.714
2020,"IT1804A",2020-06-17,0.659
2020,"IT1804A",2020-06-18,0.6412
2020,"IT1804A",2020-06-19,0.6541
2020,"IT1804A",2020-06-20,0.6711
2020,"IT1804A",2020-06-21,0.6216
2020,"IT1804A",2020-06-22,0.7068
2020,"IT1804A",2020-06-23,0.6983
2020,"IT1804A",2020-06-24,0.7099
2020,"IT1804A",2020-06-25,0.6844
2020,"IT1804A",2020-06-26,0.7281
2020,"IT1804A",2020-06-27,0.7389
2020,"IT1804A",2020-06-28,0.7204
2020,"IT1804A",2020-06-29,0.7221
2020,"IT1804A",2020-06-30,0.7035
